name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
frontend.midi_control.initialize,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_midi_control_port.rs,113,51988,0.000314,2,25994,401,51587,36193.967702
engine.control.queue_result,src/rust/shoop_engine/src/app_backend.rs,1435,1994034,0.012034,90,22155,5801,107512,19223.246775
frontend.qml_engine.load,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_qmlengine.rs,78,953056808,5.751833,1,953056808,953056808,953056808,0.000000
engine.rt.graph_state,src/rust/shoop_engine/src/engine.rs,427,205181,0.001238,2870,71,10,13796,378.984019
engine.rt.callback,src/rust/shoop_engine/src/engine.rs,310,344937404,2.081746,2369,145604,1242,1922438,68887.120417
engine.driver.create,src/rust/shoop_engine/src/app_backend.rs,2818,1413,0.000009,1,1413,1413,1413,0.000000
frontend.refresh.request,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_frontend_refresh.rs,30,22278197,0.134452,2139,10415,160,155172,7609.143541
frontend.qml.unload,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_application.rs,65,16170218,0.097590,2,8085109,8366,16161852,11422239.490402
engine.control.create_loop,src/rust/shoop_engine/src/app_backend.rs,2062,478301,0.002887,18,26572,18274,44473,6550.826005
engine.control.transition_loops,src/rust/shoop_engine/src/app_backend.rs,3874,1269137,0.007659,103,12321,4578,63109,8029.662095
engine.rt.session,src/rust/shoop_engine/src/session.rs,1820,340392872,2.054319,2369,143686,360,1920344,68862.955992
app.lifecycle,src/rust/shoopdaloop/src/lib_impl.rs,62,16028776819,96.735940,1,16028776819,16028776819,16028776819,0.000000
